Education,State,Education.1,Job Title,Degree,# of Words,Familiarity,1st Message,Noticed,Pseudonym
,Georgia,,,,,,,,Wife Platypus
,,,,,,,,,Pads Rabbit
,Georgia,,,,,,,,Marine Guinea Pig
,,,,,,,,,Strengths Fox
,,,,,,,,,Tile Monkey
,,,,,,,,,Screenshots Gnu
,,,,,,,,,Fwd Panther
,,,,,,,,,Wood Gazelle
,,,,,,,,,Juice Panther
,,,,,,,,,Dependence Silver Fox
,,,,,,,,,Tower Gorilla
,,,,,,,,,Bear Chameleon
,,,,,,,,,Webster Squirrel
,,,,,,,,,Logic Bat
,,,,,,,,,Yrs Gopher
,,,,,,,,,Roster Antelope
